DATE_TIME,INTERSECTION_ID,INTERSECTION_NAME,VEHICLE_COUNT
2022-10-30 22:00:00,INT5,Intersection 19,1995
2022-02-05 20:00:00,INT6,Intersection 13,1423
2022-08-13 14:00:00,INT11,Intersection 4,1019
2022-08-05 07:00:00,INT1,Intersection 11,620
2022-08-27 22:00:00,INT10,Intersection 18,1263
2022-09-19 01:00:00,INT20,Intersection 18,199
2022-01-20 10:00:00,INT11,Intersection 10,1608
2022-07-04 10:00:00,INT17,Intersection 17,1260
2022-08-21 10:00:00,INT8,Intersection 13,970
2022-12-13 18:00:00,INT13,Intersection 14,465
2022-03-12 05:00:00,INT20,Intersection 7,1657
2022-02-02 01:00:00,INT18,Intersection 10,1630
2022-10-17 13:00:00,INT16,Intersection 3,756
2022-04-12 09:00:00,INT2,Intersection 2,260
2022-08-10 07:00:00,INT5,Intersection 19,860
2022-07-30 11:00:00,INT18,Intersection 7,274
2022-09-25 12:00:00,INT3,Intersection 5,1211
2022-02-19 08:00:00,INT17,Intersection 3,1522
2022-07-09 19:00:00,INT16,Intersection 2,1603
2022-05-22 01:00:00,INT6,Intersection 6,644
2022-09-24 12:00:00,INT19,Intersection 14,576
2022-12-28 02:00:00,INT7,Intersection 7,1906
2022-04-17 14:00:00,INT18,Intersection 2,382
2022-11-24 01:00:00,INT14,Intersection 11,1861
2022-03-27 07:00:00,INT6,Intersection 3,1056
2022-04-25 11:00:00,INT8,Intersection 9,551
2022-01-08 21:00:00,INT15,Intersection 8,1747
2022-04-24 22:00:00,INT15,Intersection 11,181
2022-05-06 05:00:00,INT15,Intersection 18,1336
2022-07-14 02:00:00,INT16,Intersection 1,915
2022-03-21 03:00:00,INT1,Intersection 15,619
2022-11-19 06:00:00,INT11,Intersection 4,233
2022-02-22 19:00:00,INT5,Intersection 4,546
2022-03-05 16:00:00,INT5,Intersection 10,217
2022-05-29 04:00:00,INT6,Intersection 11,1719
2022-06-12 02:00:00,INT2,Intersection 18,1893
2022-08-13 17:00:00,INT6,Intersection 15,1366
2022-12-18 09:00:00,INT14,Intersection 3,848
2022-11-10 01:00:00,INT11,Intersection 7,1273
2022-04-19 20:00:00,INT4,Intersection 7,1656
2022-10-21 09:00:00,INT9,Intersection 17,745
2022-09-17 19:00:00,INT3,Intersection 20,478
2022-08-17 14:00:00,INT16,Intersection 16,707
2022-10-23 19:00:00,INT11,Intersection 16,1065
2022-02-02 07:00:00,INT4,Intersection 8,624
2022-12-09 18:00:00,INT1,Intersection 3,1636
2022-05-12 08:00:00,INT16,Intersection 20,1785
2022-03-08 01:00:00,INT19,Intersection 15,1240
2022-06-14 07:00:00,INT16,Intersection 1,1787
2022-11-11 19:00:00,INT11,Intersection 10,675
2022-05-09 01:00:00,INT8,Intersection 2,1036
2022-02-12 13:00:00,INT1,Intersection 7,761
2022-06-10 03:00:00,INT9,Intersection 14,1440
2022-11-29 21:00:00,INT12,Intersection 16,975
2022-10-14 09:00:00,INT8,Intersection 15,111
2022-08-25 11:00:00,INT17,Intersection 7,1213
2022-01-07 17:00:00,INT10,Intersection 13,487
2022-06-29 01:00:00,INT7,Intersection 10,182
2022-02-11 11:00:00,INT19,Intersection 9,1075
2022-11-14 21:00:00,INT6,Intersection 9,1885
2022-02-12 08:00:00,INT19,Intersection 6,495
2022-11-24 21:00:00,INT18,Intersection 12,644
2022-09-26 07:00:00,INT15,Intersection 20,760
2022-11-25 20:00:00,INT2,Intersection 20,739
2022-10-13 23:00:00,INT14,Intersection 14,199
2022-11-26 20:00:00,INT10,Intersection 20,556
2022-12-22 09:00:00,INT16,Intersection 7,973
2022-02-06 14:00:00,INT7,Intersection 8,427
2022-07-23 15:00:00,INT8,Intersection 8,823
2022-07-22 11:00:00,INT10,Intersection 8,173
2022-09-21 19:00:00,INT15,Intersection 2,1219
2022-12-24 03:00:00,INT8,Intersection 14,191
2022-12-28 20:00:00,INT13,Intersection 10,429
2022-10-28 08:00:00,INT12,Intersection 18,1963
2022-08-08 20:00:00,INT8,Intersection 18,274
2022-03-27 22:00:00,INT15,Intersection 18,1860
2022-01-03 16:00:00,INT12,Intersection 16,414
2022-11-30 14:00:00,INT11,Intersection 20,1810
2022-04-18 00:00:00,INT19,Intersection 5,1691
2022-08-16 15:00:00,INT14,Intersection 20,596
2022-03-26 11:00:00,INT18,Intersection 5,1392
2022-04-23 07:00:00,INT13,Intersection 20,527
2022-08-08 02:00:00,INT4,Intersection 10,134
2022-08-23 02:00:00,INT17,Intersection 17,218
2022-10-08 16:00:00,INT19,Intersection 13,1494
2022-01-17 07:00:00,INT9,Intersection 17,1024
2022-09-03 12:00:00,INT7,Intersection 18,1691
2022-05-29 09:00:00,INT1,Intersection 13,1574
2022-09-15 16:00:00,INT7,Intersection 17,1432
2022-05-10 03:00:00,INT7,Intersection 15,1480
2022-09-19 14:00:00,INT20,Intersection 12,1499
2022-12-16 16:00:00,INT7,Intersection 10,927
2022-05-10 08:00:00,INT8,Intersection 13,1228
2022-10-28 15:00:00,INT16,Intersection 11,489
2022-04-13 06:00:00,INT3,Intersection 3,275
2022-04-24 19:00:00,INT13,Intersection 10,205
2022-12-06 18:00:00,INT10,Intersection 11,691
2022-07-30 16:00:00,INT18,Intersection 6,1286
2022-12-04 22:00:00,INT7,Intersection 1,1013
2022-06-10 00:00:00,INT5,Intersection 6,1390
2022-02-12 20:00:00,INT7,Intersection 5,1686
2022-11-04 17:00:00,INT17,Intersection 7,1402
2022-01-21 22:00:00,INT4,Intersection 12,1426
2022-10-15 22:00:00,INT16,Intersection 12,1710
2022-10-17 02:00:00,INT19,Intersection 7,1054
2022-07-07 00:00:00,INT10,Intersection 2,1052
2022-01-09 14:00:00,INT3,Intersection 1,960
2022-08-02 22:00:00,INT3,Intersection 18,226
2022-09-07 01:00:00,INT17,Intersection 12,1369
2022-11-18 17:00:00,INT10,Intersection 7,923
2022-10-21 03:00:00,INT17,Intersection 19,333
2022-03-03 20:00:00,INT17,Intersection 3,766
2022-11-24 10:00:00,INT4,Intersection 10,1708
2022-02-05 23:00:00,INT6,Intersection 11,1030
2022-04-27 06:00:00,INT12,Intersection 5,1562
2022-11-05 16:00:00,INT20,Intersection 2,236
2022-12-31 19:00:00,INT17,Intersection 8,1909
2022-08-02 04:00:00,INT17,Intersection 14,655
2022-09-08 19:00:00,INT10,Intersection 8,858
2022-03-15 05:00:00,INT7,Intersection 6,1272
2022-11-12 14:00:00,INT16,Intersection 1,155
2022-09-23 14:00:00,INT13,Intersection 1,1811
2022-10-15 04:00:00,INT3,Intersection 8,455
2022-03-11 22:00:00,INT2,Intersection 11,1380
2022-05-16 02:00:00,INT16,Intersection 18,1022
2022-07-13 04:00:00,INT6,Intersection 10,912
2022-02-14 03:00:00,INT6,Intersection 12,1186
2022-10-05 20:00:00,INT13,Intersection 20,1949
2022-05-12 13:00:00,INT7,Intersection 16,1186
2022-09-04 11:00:00,INT5,Intersection 5,905
2022-04-23 05:00:00,INT7,Intersection 16,1152
2022-06-01 03:00:00,INT2,Intersection 12,1675
2022-08-16 02:00:00,INT17,Intersection 6,1782
2022-03-11 07:00:00,INT13,Intersection 5,699
2022-08-22 00:00:00,INT16,Intersection 1,667
2022-11-05 00:00:00,INT20,Intersection 19,1423
2022-02-24 10:00:00,INT2,Intersection 10,804
2022-10-10 08:00:00,INT5,Intersection 14,711
2022-09-02 08:00:00,INT18,Intersection 3,1338
2022-11-10 14:00:00,INT7,Intersection 6,240
2022-08-21 07:00:00,INT11,Intersection 5,1630
2022-08-19 10:00:00,INT11,Intersection 17,660
2022-07-03 21:00:00,INT17,Intersection 18,598
2022-06-06 04:00:00,INT16,Intersection 12,726
2022-01-28 15:00:00,INT13,Intersection 5,601
2022-03-25 06:00:00,INT5,Intersection 9,840
2022-11-30 02:00:00,INT20,Intersection 12,863
2022-03-04 07:00:00,INT16,Intersection 20,1710
2022-05-18 16:00:00,INT16,Intersection 9,1314
2022-06-06 19:00:00,INT16,Intersection 3,1834
2022-08-07 00:00:00,INT14,Intersection 1,774
2022-03-19 05:00:00,INT6,Intersection 15,1774
2022-10-02 09:00:00,INT2,Intersection 10,148
2022-02-23 19:00:00,INT14,Intersection 14,1486
2022-05-30 05:00:00,INT16,Intersection 7,726
2022-11-11 18:00:00,INT20,Intersection 4,779
2022-10-31 08:00:00,INT13,Intersection 5,1619
2022-03-10 04:00:00,INT15,Intersection 20,376
2022-06-04 00:00:00,INT12,Intersection 16,146
2022-01-30 02:00:00,INT9,Intersection 3,1894
2022-07-17 09:00:00,INT18,Intersection 17,1025
2022-02-05 14:00:00,INT14,Intersection 13,315
2022-12-07 04:00:00,INT20,Intersection 6,329
2022-09-01 23:00:00,INT4,Intersection 5,1762
2022-11-05 00:00:00,INT8,Intersection 16,422
2022-09-30 00:00:00,INT8,Intersection 11,1953
2022-08-07 17:00:00,INT16,Intersection 17,1544
2022-08-04 12:00:00,INT10,Intersection 5,324
2022-03-13 03:00:00,INT17,Intersection 6,1785
2022-08-30 07:00:00,INT1,Intersection 10,1410
2022-08-19 15:00:00,INT18,Intersection 1,145
2022-07-25 11:00:00,INT10,Intersection 10,1936
2022-05-27 06:00:00,INT4,Intersection 17,1137
2022-01-09 10:00:00,INT1,Intersection 3,732
2022-06-25 18:00:00,INT4,Intersection 2,474
2022-07-02 21:00:00,INT4,Intersection 17,802
2022-04-07 23:00:00,INT4,Intersection 4,1086
2022-11-30 12:00:00,INT17,Intersection 2,432
2022-05-03 03:00:00,INT9,Intersection 5,1979
2022-11-21 01:00:00,INT19,Intersection 10,265
2022-01-09 05:00:00,INT13,Intersection 1,606
2022-10-24 21:00:00,INT4,Intersection 1,216
2022-03-22 10:00:00,INT5,Intersection 4,1042
2022-09-19 23:00:00,INT13,Intersection 7,735
2022-06-28 10:00:00,INT16,Intersection 14,1689
2022-04-15 15:00:00,INT5,Intersection 14,1562
2022-01-28 11:00:00,INT8,Intersection 18,1427
2022-04-28 03:00:00,INT16,Intersection 2,556
2022-10-23 18:00:00,INT1,Intersection 1,968
2022-09-30 18:00:00,INT6,Intersection 16,1394
2022-03-24 18:00:00,INT11,Intersection 18,1834
2022-12-14 10:00:00,INT16,Intersection 16,315
2022-05-02 07:00:00,INT5,Intersection 6,212
2022-03-14 06:00:00,INT16,Intersection 10,1139
2022-03-18 19:00:00,INT7,Intersection 2,315
2022-12-28 16:00:00,INT19,Intersection 7,526
2022-05-05 00:00:00,INT1,Intersection 17,1258
2022-03-23 15:00:00,INT9,Intersection 3,1166
2022-08-28 23:00:00,INT18,Intersection 20,863
2022-10-06 22:00:00,INT13,Intersection 12,383
2022-04-10 09:00:00,INT15,Intersection 2,933
2022-07-17 08:00:00,INT3,Intersection 7,1221
2022-03-17 02:00:00,INT10,Intersection 17,1183
2022-12-06 19:00:00,INT9,Intersection 19,329
2022-12-05 08:00:00,INT13,Intersection 12,1766
2022-10-03 16:00:00,INT16,Intersection 9,484
2022-08-19 14:00:00,INT3,Intersection 14,258
2022-06-19 05:00:00,INT15,Intersection 2,923
2022-01-11 22:00:00,INT17,Intersection 4,570
2022-09-19 23:00:00,INT14,Intersection 19,1719
2022-03-27 09:00:00,INT7,Intersection 16,307
2022-08-14 23:00:00,INT20,Intersection 17,273
2022-07-09 12:00:00,INT16,Intersection 2,1923
2022-05-10 12:00:00,INT8,Intersection 17,1204
2022-10-26 06:00:00,INT4,Intersection 19,1141
2022-11-05 08:00:00,INT20,Intersection 8,1116
2022-05-13 02:00:00,INT15,Intersection 20,807
2022-04-04 23:00:00,INT5,Intersection 6,1414
2022-02-18 02:00:00,INT13,Intersection 12,1483
2022-07-07 11:00:00,INT6,Intersection 18,1991
2022-09-20 07:00:00,INT5,Intersection 2,1402
2022-09-16 05:00:00,INT17,Intersection 19,1074
2022-03-10 16:00:00,INT7,Intersection 10,496
2022-08-19 19:00:00,INT6,Intersection 3,1073
2022-06-24 23:00:00,INT2,Intersection 12,865
2022-12-18 21:00:00,INT11,Intersection 16,1265
2022-04-17 13:00:00,INT7,Intersection 12,776
2022-08-22 00:00:00,INT8,Intersection 8,616
2022-01-05 02:00:00,INT5,Intersection 5,1374
2022-04-02 16:00:00,INT18,Intersection 11,761
2022-05-04 09:00:00,INT16,Intersection 10,1663
2022-07-27 05:00:00,INT14,Intersection 3,1360
2022-07-04 17:00:00,INT12,Intersection 9,1255
2022-04-30 13:00:00,INT17,Intersection 12,405
2022-02-09 20:00:00,INT5,Intersection 6,457
2022-12-15 00:00:00,INT14,Intersection 19,1408
2022-08-26 11:00:00,INT6,Intersection 16,1416
2022-10-17 08:00:00,INT15,Intersection 14,1286
2022-07-07 05:00:00,INT7,Intersection 4,518
2022-07-24 15:00:00,INT14,Intersection 18,1862
2022-06-16 03:00:00,INT18,Intersection 10,1591
2022-09-08 15:00:00,INT1,Intersection 18,741
2022-02-20 18:00:00,INT6,Intersection 12,1693
2022-07-07 08:00:00,INT3,Intersection 19,606
2022-07-17 07:00:00,INT5,Intersection 8,1781
2022-07-09 19:00:00,INT12,Intersection 1,1601
2022-12-02 10:00:00,INT11,Intersection 14,1485
2022-05-24 14:00:00,INT13,Intersection 6,411
2022-02-13 13:00:00,INT16,Intersection 14,1757
2022-10-15 05:00:00,INT18,Intersection 2,803
2022-03-12 13:00:00,INT17,Intersection 9,344
2022-05-24 04:00:00,INT17,Intersection 12,576
2022-12-31 18:00:00,INT11,Intersection 5,714
2022-09-03 15:00:00,INT20,Intersection 2,535
2022-05-20 18:00:00,INT10,Intersection 19,349
2022-01-10 09:00:00,INT16,Intersection 7,1145
2022-07-23 21:00:00,INT2,Intersection 7,576
